MEGFR,Viatura_COD,TIPO_DECIR,ELEMENTO,COD_EQUIPA,CODIGO_ICNF,TIPOLOGIA,MODELO,MARCA,CHASSIS,MATRICULA,UO_DRCNF,BASE,ESTADO,AGFR,LAT_BASE,LONG_BASE,DDI_VIATURA,Ligada_Meios_v1
FSBF,TB TFA18,NULL,NULL,NULL,TFA18,Trator Valtra Serie A (115cv),VALTRA,SÉRIE A (115cv),YK5A115HOMS316041,AN 37 XG,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,TB TFA19,NULL,NULL,NULL,TFA19,Trator Valtra Serie A (115cv),VALTRA,SÉRIE A (115cv),YK5A115HOMS305044,AN 33 XG,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,TB TFA20,NULL,NULL,NULL,TFA20,Trator Valtra Serie A (115cv),VALTRA,SÉRIE A (115cv),YK5A115HOMS305019,AN 34 XG,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,TB TFA21,NULL,NULL,NULL,TFA21,Trator Valtra Serie A (115cv),VALTRA,SÉRIE A (115cv),YK5A115HOMS306006,AN 46 XG,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,TB TFA22,NULL,NULL,NULL,TFA22,Trator Valtra Serie A (115cv),VALTRA,SÉRIE A (115cv),YK5A115HOMS307005,AN 50 XG,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,TB TFA23,NULL,NULL,NULL,TFA23,Trator Valtra Serie A (115cv),VALTRA,SÉRIE A (115cv),YK5A115HOMS307030,AN 44 XG,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,TB TFA24,NULL,NULL,NULL,TFA24,Trator Valtra Serie A (115cv),VALTRA,SÉRIE A (115cv),YK5A115HOMS293014,AN 39 XG,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,TB TFA25,NULL,NULL,NULL,TFA25,Trator Valtra Serie A (115cv),VALTRA,SÉRIE A (115cv),YK5A115HOMS316005,AN 45 XG,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,TB TFA26,NULL,NULL,NULL,TFA26,Trator Valtra Serie A (115cv),VALTRA,SÉRIE A (115cv),YK5A115HOMS320009,AN 61 XG,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,TB TFA27,NULL,NULL,NULL,TFA27,Trator Valtra Serie A (115cv),VALTRA,SÉRIE A (115cv),YK5A115HOMS322030,AN 49 XG,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,VCOT 04-49-UM,VCOT,NULL,NULL,VAFR 04 FSBF,,Navarra,NISSAN,NULL,04-49-UM,NULL,Guarda,NULL,NACIONAL,"40,538056","-7,286139",NULL,NÃO ligada
FSBF,VLCI 16-XO-49,VLCI,NULL,NULL,VLCI 04 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,16-XO-49,NULL,Cabeceiras de Basto,NULL,NACIONAL,"41,521439","-7,995917",NULL,NÃO ligada
FSBF,VLCI 16-XO-51,VLCI,NULL,NULL,VLCI 06 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,16-XO-51,NULL,Cabeceiras de Basto,NULL,NACIONAL,"41,521439","-7,995917",NULL,NÃO ligada
FSBF,VLCI 16-XO-76,VLCI,NULL,NULL,VLCI 14 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,16-XO-76,NULL,Viseu,NULL,NACIONAL,"40,656152","-7,900762",NULL,NÃO ligada
FSBF,VLCI 16-XO-80,VLCI,NULL,NULL,VLCI 17 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,16-XO-80,NULL,Vila Pouca de Aguiar,NULL,NACIONAL,"41,500083","-7,640167",NULL,NÃO ligada
FSBF,VCOT 35-VL-18,VCOT,NULL,NULL,VAFR 17 FSBF,NULL,L200,Mitsubishi,NULL,35-VL-18,NULL,Vila Pouca de Aguiar,NULL,NACIONAL,"41,500083","-7,640167",NULL,NÃO ligada
FSBF,VCOT 38-XF-77,VCOT,NULL,NULL,VAFR 01 FSBF,NULL,L200,MITSUBISHI,NULL,38-XF-77,NULL,Lisboa,NULL,NACIONAL,NULL,NULL,NULL,NÃO ligada
FSBF,VCOT 39-FA-08,VCOT,NULL,NULL,VAFR 10 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,39-FA-08,NULL,Viseu,NULL,NACIONAL,"40,656152","-7,900762",NULL,NÃO ligada
FSBF,VCOT 39-FA-53,VCOT,NULL,NULL,VAFR 13 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,39-FA-53,NULL,Guarda,NULL,NACIONAL,"40,538056","-7,286139",NULL,NÃO ligada
FSBF,VCOT 39-FA-56,VCOT,NULL,NULL,VAFR 12 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,39-FA-56,NULL,Viseu,NULL,NACIONAL,"40,656152","-7,900762",NULL,NÃO ligada
FSBF,VCOT 39-FA-66,VCOT,NULL,NULL,VAFR 11 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,39-FA-66,NULL,Marinha Grande,NULL,NACIONAL,"39,862789","-8,932041",NULL,NÃO ligada
FSBF,VCOT 39-FA-68,VCOT,NULL,NULL,VAFR 15 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,39-FA-68,NULL,Guarda,NULL,NACIONAL,"40,538056","-7,286139",NULL,NÃO ligada
FSBF,VCOT 39-FA-78,VCOT,NULL,NULL,VAFR 14 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,39-FA-78,NULL,Proença-a-Nova,NULL,NACIONAL,"39,731861","-7,873833",NULL,NÃO ligada
FSBF,VLCI 50-03-PZ,VLCI,NULL,NULL,VLCI 01 FSBF,NULL,CVNVD22,NISSAN,NULL,50-03-PZ,NULL,Vila Pouca de Aguiar,NULL,NACIONAL,"41,500083","-7,640167",NULL,NÃO ligada
FSBF,VCOT 54-31-ZA,VCOT,NULL,NULL,VAFR 08 FSBF,NULL,L200,Mitsubishi,NULL,54-31-ZA,NULL,Guarda,NULL,NACIONAL,"40,538056","-7,286139",NULL,NÃO ligada
FSBF,VCOT 74-51-XD,VCOT,NULL,NULL,VAFR 05 FSBF,NULL,Navarra,Nissan ,NULL,74-51-XD,NULL,Proença-a-Nova,NULL,NACIONAL,"39,731861","-7,873833",NULL,NÃO ligada
FSBF,VCOT 74-52-XD,VCOT,NULL,NULL,VAFR 06 FSBF,NULL,CVNVD22,NISSAN,NULL,74-52-XD,NULL,Marinha Grande,NULL,NACIONAL,"39,862789","-8,932041",NULL,NÃO ligada
FSBF,VCOT 83-CE-00,VCOT,NULL,NULL,VAFR 07 FSBF,NULL,L200,Mitsubishi,NULL,83-CE-00,NULL,Guarda,NULL,NACIONAL,"40,538056","-7,286139",NULL,NÃO ligada
FSBF,VCOT 85-CT-37,VCOT,NULL,NULL,VAFR 24 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,85-CT-37,NULL,Loulé,NULL,NACIONAL,NULL,NULL,NULL,NÃO ligada
FSBF,VCOT 85-CT-44,VCOT,NULL,NULL,UNM,NULL,L200 4WD,MITSUBISHI,NULL,85-CT-44,NULL,Viseu,NULL,NACIONAL,"40,656152","-7,900762",NULL,NÃO ligada
FSBF,VCOT 85-CT-45,VCOT,NULL,NULL,VAFR 09 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,85-CT-45,NULL,Marinha Grande,NULL,NACIONAL,"39,862789","-8,932041",NULL,NÃO ligada
FSBF,VLCI 90-XJ-83,VLCI,NULL,NULL,VLCI 02 FSBF,NULL,L200,Mitsubishi,NULL,90-XJ-83,NULL,Cabeceiras de Basto,NULL,NACIONAL,"41,521439","-7,995917",NULL,NÃO ligada
FSBF,VLCI 08-XL-45,VLCI,NULL,FSBF CBAS03,VLCI 03 FSBF,,L200 4WD,MITSUBISHI,NULL,08-XL-45,NULL,Cabeceiras de Basto,NULL,NACIONAL,"41,521439","-7,995917",NULL,Ligada
FSBF,VLCI 16-XO-50,VLCI,NULL,FSBF VPA01,VLCI 05 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-50,NULL,Vila Pouca de Aguiar,NULL,NACIONAL,"41,500083","-7,640167",NULL,Ligada
FSBF,VLCI 16-XO-55,VLCI,NULL,FSBF PRN02,VLCI 07 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-55,NULL,Proença-a-Nova,NULL,NACIONAL,"39,731861","-7,873833",NULL,Ligada
FSBF,VLCI 16-XO-57,VLCI,NULL,FSBF GD03,VLCI 08 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-57,NULL,Guarda,NULL,NACIONAL,"40,538056","-7,286139",NULL,Ligada
FSBF,VLCI 16-XO-59,VLCI,NULL,FSBF GD04,VLCI 09 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-59,NULL,Guarda,NULL,NACIONAL,"40,538056","-7,286139",NULL,Ligada
FSBF,VLCI 16-XO-62,VLCI,NULL,FSBF MG01,VLCI 10 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-62,NULL,Marinha Grande,NULL,NACIONAL,"39,862789","-8,932041",NULL,Ligada
FSBF,VLCI 16-XO-63,VLCI,NULL,FSBF LOU01,VLCI 11 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-63,NULL,Santarém,NULL,NACIONAL,"39,105528","-8,837083",NULL,Ligada
FSBF,VLCI 16-XO-69,VLCI,NULL,FSBF STR03,VLCI 12 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-69,NULL,Santarém,NULL,NACIONAL,"39,105528","-8,837083",NULL,Ligada
FSBF,VLCI 16-XO-75,VLCI,NULL,FSBF STR03,VLCI 13 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-75,NULL,Loulé,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,VLCI 16-XO-77,VLCI,NULL,FSBF PTG03,VLCI 15 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-77,NULL,Portalegre,NULL,NACIONAL,"39,313528","-7,41625",NULL,Ligada
FSBF,VLCI 16-XO-78,VLCI,NULL,FSBF PTG04,VLCI 16 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-78,NULL,Portalegre,NULL,NACIONAL,"39,313528","-7,41625",NULL,Ligada
FSBF,VLCI 16-XO-81,VLCI,NULL,FSBF PTG04,VLCI 18 FSBF,,L200 4WD,MITSUBISHI,NULL,16-XO-81,NULL,Portalegre,NULL,NACIONAL,"39,313528","-7,41625",NULL,Ligada
FSBF,VLCI 55-VO-27,VLCI,NULL,FSBF STR01,VLCI 22 FSBF,,L200 4WD,MITSUBISHI,NULL,55-VO-27,NULL,Loulé,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,VLCI 55-VO-28,VLCI,NULL,FSBF STR02,VLCI 21 FSBF,,L200 4WD,MITSUBISHI,NULL,55-VO-28,NULL,Guarda,NULL,NACIONAL,"40,538056","-7,286139",NULL,Ligada
FSBF,VCOT 55-VO-29,VCOT,NULL,FSBF STR01,VAFR 21 FSBF,,L200 4WD,MITSUBISHI,NULL,55-VO-29,NULL,Portalegre,NULL,NACIONAL,"39,313528","-7,41625",NULL,Ligada
FSBF,VCOT 85-CT-47,VCOT,NULL,FSBF VPA01,NULL,NULL,L200 4WD,MITSUBISHI,NULL,85-CT-47,NULL,NULL,NULL,NACIONAL,NULL,NULL,NULL,Ligada
FSBF,VLCI 91-XJ-05,VLCI,NULL,NULL,VLCI 20 FSBF,NULL,L200,Mitsubishi,NULL,91-XJ-05,NULL,Vila Pouca de Aguiar,NULL,NACIONAL,"41,500083","-7,640167",NULL,NÃO ligada
FSBF,VLCI 91-XJ-01,VLCI,NULL,NULL,VLCI 19 FSBF,NULL,L200,Mitsubishi,NULL,91-XJ-01,NULL,Cabeceiras de Basto,NULL,NACIONAL,"41,521439","-7,995917",NULL,NÃO ligada
FSBF,VCOT 96-FC-75,VCOT,NULL,NULL,VAFR 18 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,96-FC-75,NULL,Vila Pouca de Aguiar,NULL,NACIONAL,"41,500083","-7,640167",NULL,NÃO ligada
FSBF,VCOT 96-FC-76,VCOT,NULL,NULL,VAFR 16 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,96-FC-76,NULL,Marinha Grande,NULL,NACIONAL,"39,862789","-8,932041",NULL,NÃO ligada
FSBF,VCOT 96-FC-78,VCOT,NULL,NULL,VAFR 19 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,96-FC-78,NULL,Vila Pouca de Aguiar,NULL,NACIONAL,"41,500083","-7,640167",NULL,NÃO ligada
FSBF,VCOT 96-FC-79,VCOT,NULL,NULL,VAFR 20 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,96-FC-79,NULL,Cabeceiras de Basto,NULL,NACIONAL,"41,521439","-7,995917",NULL,NÃO ligada
FSBF,VCOT 96-FC-82,VCOT,NULL,NULL,VAFR 22 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,96-FC-82,NULL,Santarem,NULL,NACIONAL,"39,105528","-8,837083",NULL,NÃO ligada
FSBF,VCOT 96-FC-89,VCOT,NULL,NULL,VAFR 23 FSBF,NULL,L200 4WD,MITSUBISHI,NULL,96-FC-89,NULL,Portalegre,NULL,NACIONAL,"39,313528","-7,41625",NULL,NÃO ligada
FSBF,VCOT AA-96-LV,VCOT,NULL,NULL,VAFR 02 FSBF,NULL,OutLander,MITSUBISHI,NULL,AA-96-LV,NULL,Lisboa,NULL,NACIONAL,NULL,NULL,NULL,NÃO ligada
