MEGFR,TipoTerminal,DDI,UnidadeFuncional,Entidade,RadioUserAlias,COD_EQUIPA,Estado,NUTSIII,Indicativo_Operacional_Radio,Ligado_Meios_v1
ESF,Portatil,3260590,Associação Florestal de Entre Douro e Tâmega,ESF,SF 37-115.2 TS,SF 37-115,1,Tâmega e Sousa,S_F_TRINTA_E_SETE_AMARANTE,Ligado (DDI)
BSF,Viatura,3260591,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-1-115,BSF,SF 39-115 TS,SF 39-115,1,Tâmega e Sousa,BRIGADA_UM_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Portatil,3260592,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-1-115,BSF,SF 39-115.2 TS,SF 39-115,1,Tâmega e Sousa,BRIGADA_UM_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Viatura,3260593,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-1-115,BSF,SF 40-115 TS,SF 40-115,1,Tâmega e Sousa,BRIGADA_UM_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Portatil,3260594,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-1-115,BSF,SF 40-115.2 TS,SF 40-115,1,Tâmega e Sousa,BRIGADA_UM_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Viatura,3260595,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-1-115,BSF,SF 41-115 TS,SF 41-115,1,Tâmega e Sousa,BRIGADA_UM_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Portatil,3260596,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-1-115,BSF,SF 41-115.2 TS,SF 41-115,1,Tâmega e Sousa,BRIGADA_UM_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Portatil,3260597,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-2-115,BSF,SF 43-115 TS,SF 43-115,1,Tâmega e Sousa,BRIGADA_DOIS_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Viatura,3260598,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-2-115,BSF,SF 43-115.2 TS,SF 43-115,1,Tâmega e Sousa,BRIGADA_DOIS_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Portatil,3260599,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-2-115,BSF,SF 44-115 TS,SF 44-115,1,Tâmega e Sousa,BRIGADA_DOIS_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Viatura,3260600,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-2-115,BSF,SF 44-115.2 TS,SF 44-115,1,Tâmega e Sousa,BRIGADA_DOIS_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Portatil,3260601,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-2-115,BSF,SF 45-115 TS,SF 45-115 ,1,Tâmega e Sousa,BRIGADA_DOIS_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
BSF,Viatura,3260602,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-2-115,BSF,SF 45-115.2 TS,SF 45-115 ,1,Tâmega e Sousa,BRIGADA_DOIS_CIM_TÂMEGA_E_SOUSA,Ligado (DDI)
ESF,Viatura,3260603,Associação Florestal de Entre Douro e Tâmega,ESF,SF 46-115 TS,SF 46-115,1,Tâmega e Sousa,S_F_QUARENTA_E_SEIS_RESENDE,Ligado (DDI)
ESF,Portatil,3260604,Associação Florestal de Entre Douro e Tâmega,ESF,SF 46-115.2 TS,SF 46-115,1,Tâmega e Sousa,S_F_QUARENTA_E_SEIS_RESENDE,Ligado (DDI)
BSF,Portatil,3260605,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-1-115 - Tecnico 1,BSF,SF BR1-115 TS,SF 39-115,1,Tâmega e Sousa,BRIGADA_UM_CIM_TÂMEGA_E_SOUSA,Ligado (COD_EQUIPA)
BSF,Portatil,3260606,Comunidade Intermunicipal do Tâmega e Sousa - BRIG-2-115 - Tecnico 2,BSF,SF BR2-115 TS,SF 43-115,1,Tâmega e Sousa,BRIGADA_DOIS_CIM_TÂMEGA_E_SOUSA,Ligado (COD_EQUIPA)
ESF,Portatil,3260607,Município de Vila Flor (ex-AFTM-Associação Florestal de Trás-os-Montes),ESF,SF 07-117 TT,SF 07-117,1,Terras de Trás-Os-Montes,S_F_SETE_VIA_FLOR,Ligado (DDI)
ESF,Portatil,3260608,Município de Vila Flor (ex-AFTM-Associação Florestal de Trás-os-Montes),ESF,SF 07-117.2 TT,SF 07-117,1,Terras de Trás-Os-Montes,S_F_SETE_VIA_FLOR,Ligado (COD_EQUIPA)
ESF,Portatil,3260609,ARBOREA - Associação Agro-Florestal e Ambiental da Terra Fria Transmontana,ESF,SF 10-118 TT,SF 10-118,1,Terras de Trás-Os-Montes,S_F_DEZ_VINHAIS,Ligado (DDI)
ESF,Portatil,3260610,ARBOREA - Associação Agro-Florestal e Ambiental da Terra Fria Transmontana,ESF,SF 10-118.2 TT,SF 10-118,1,Terras de Trás-Os-Montes,S_F_DEZ_VINHAIS,Ligado (COD_EQUIPA)
ESF,Portatil,3260611,SILVIDOURO - Associação Agro-Florestal,ESF,SF 12-117 TT,SF 12-117,1,Terras de Trás-Os-Montes,S_F_DOZE_VIA_FLOR,Ligado (DDI)
ESF,Portatil,3260612,SILVIDOURO - Associação Agro-Florestal,ESF,SF 12-117.2 TT,SF 12-117,1,Terras de Trás-Os-Montes,S_F_DOZE_VIA_FLOR,Ligado (COD_EQUIPA)
ESF,Portatil,3260613,FLOREST'ÁGUA - Associação de Produtores Florestais e Regantes de São Martinho,ESF,SF 14-118 TT,SF 14-118,1,Terras de Trás-Os-Montes,S_F_CATORZE_MIRANDA_DO_DOURO,Ligado (DDI)
